metodo;plaza;region;sexo;edad;educacion;imagen_massa;imagen_milei;teme;votara_milei;votara_massa;ballotage_votara;votara_hoy;p9_p10;combinada;general_voto;weight1;weight2;cr1;cr2;cr3;cr4;cr5;cr6;cr7;cr8;cr9;cr10;cr11
Presencial;Guaymallén;Cuyo;Masculino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Muy positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Sergio Massa de Unión por la Patria;1.2087;1.20727;Masculino;50 y más;Primario;Cuyo+Sur;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Massa
Presencial;Santo Tomé ( S Fé);Centro;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Algo negativa;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;;Sergio Massa;Sergio Massa;Sergio Massa de Unión por la Patria;1.3344;1.5545;Masculino;30-49;Primario;Centro;Negativa;Negativa;Milei;Nunca;Podría;Massa;Massa
Presencial;Guaymallén;Cuyo;Femenino;24 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Algo positiva;Las dos posibilidades me dan el mismo miedo;No sabe/ está indeciso;No sabe/ está indeciso;Está indeciso;Votar en blanco;Votará en blanco;Votará en blanco;Patricia Bullrich de Juntos por el cambio;0.72796;0.72062;Femenino;24-29;Terciario;Cuyo+Sur;Negativa;Positiva;Massa;;;Indeciso/Blano/No;Bullrich
Presencial;Guaymallén;Cuyo;Femenino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Algo positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Sergio Massa de Unión por la Patria;1.26551;1.2705;Femenino;50 y más;Primario;Cuyo+Sur;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Massa
Presencial;Santo Tomé ( S Fé);Centro;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy negativa;Muy positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;1.3344;2.01149;Masculino;30-49;Primario;Centro;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Milei
Presencial;Guaymallén;Cuyo;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Algo positiva;Algo negativa;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;;Sergio Massa;Sergio Massa;Javier Milei de la Libertad Avanza;0.99459;1.29045;Femenino;30-49;Secundario;Cuyo+Sur;Positiva;Negativa;Milei;Nunca;Seguro;Massa;Milei
Presencial;Guaymallén;Cuyo;Femenino;16 a 23;Nivel Secundario, ya sea completo o incompleto;Algo negativa;Algo positiva;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;1.16964;1.43716;Femenino;16-23;Secundario;Cuyo+Sur;Negativa;Positiva;Massa;Podría;Nunca;Milei;Milei
Presencial;Guaymallén;Cuyo;Femenino;Mayor de 50;Nivel Primario, ya sea completo o incompleto;Algo negativa;No conoce/ no tiene opinión;Que gane Javier Milei;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;1.26551;1.32173;Femenino;50 y más;Primario;Cuyo+Sur;Negativa;;Milei;Podría;Nunca;Milei;Bullrich
Presencial;Guaymallén;Cuyo;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Algo negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;0.94994;1.22622;Masculino;30-49;Secundario;Cuyo+Sur;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Milei
Presencial;Guaymallén;Cuyo;Masculino;Mayor de 50;Nivel Secundario, ya sea completo o incompleto;Algo negativa;No conoce/ no tiene opinión;No sabe/ no tiene opinión formada;Podría llegar a votarlo;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;0.89792;1.13455;Masculino;50 y más;Secundario;Cuyo+Sur;Negativa;;;Podría;Nunca;Milei;Milei
