plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
Córdoba;3;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Buena;Buena;Mala;Mala;Buena;Mala;Buena;Buena;Mala;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;;Grandes;0.737076
Córdoba;3;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Buena;Muy buena;Muy buena;Muy mala;Muy mala;Buena;Mala;Buena;Buena;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.771
Córdoba;3;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Buena;Buena;Buena;Mala;Buena;Buena;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Cosquín;8;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Esta indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Indeciso;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Buena;Buena;Buena;Mala;Mala;Buena;Mala;Ns/Nc;Buena;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Algunas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Ns Nr;Positiva;Positiva;Negativa;;Chicas;2.182
Cosquín;8;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Muy mala;Mala;Buena;Mala;Muy buena;Buena;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;;Chicas;2.085992
Cosquín;8;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Javier Milei de Avanza Libertad;Buena;Ns/Nc;Mala;Buena;Mala;Mala;Buena;Mala;Mala;Buena;Buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;;Chicas;2.182
Cosquín;8;Hombre;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;No sabe;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Buena;Mala;Mala;Buena;Mala;Mala;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;;Chicas;2.182
Cosquín;8;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;El peronismo no kirchnerista de Schiaretti y Urtubey;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Ns/Nc;Mala;Buena;Buena;Buena;Mala;Ns/Nc;Buena;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Ns Nr;Negativa;Positiva;Positiva;Positiva;Negativa;Ns Nr;Positiva;;Chicas;2.182
Cosquín;8;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;No sabe;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Ns/Nc;Buena;Mala;Buena;Buena;Mala;Mala;Mala;Mala;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;;Chicas;2.2932819999999996
Cosquín;8;Hombre;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Mala;Mala;Mala;Mala;Mala;Mala;Buena;Ns/Nc;Ns/Nc;;;No sabe;Muchas;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Ns Nr;Ns Nr;;Chicas;2.182
Caba;1;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Otro candidato;Ninguno de los dos;Indeciso;Ninguno de los dos;Ninguno de los dos;Mala;Buena;Buena;Mala;Mala;Muy buena;Mala;Muy buena;Buena;Muy buena;Mala;;;Mauricio Macri y Miguel Pichetto;Algunas;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;AMBA;1.1787480000000001
Caba;1;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Myriam Bregman por el Frente de Izquierda;Indeciso;En blanco;Myriam Bregman por el Frente de Izquierda;Indeciso;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Muy buena;Mala;Mala;Buena;Muy mala;Buena;Muy mala;Muy mala;Mala;Buena;;;No sabe;Muchas;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;;AMBA;1.233
Caba;1;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Mala;Mala;Buena;Muy mala;Muy mala;Buena;Muy mala;Muy buena;Mala;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;;AMBA;1.1787480000000001
Caba;1;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Seguro lo votaría;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Daniel Scioli por el Frente de Todos;Daniel Scioli por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Myriam Bregman por el Frente de Izquierda;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Mala;Ns/Nc;Muy mala;Muy buena;Muy buena;Muy mala;Buena;Muy mala;Muy mala;Buena;Muy buena;;;Nicolás Del Caño;Algunas;Negativa;Ns Nr;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;;AMBA;1.233
Caba;1;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Muy buena;Buena;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;;AMBA;1.233
Caba;1;Hombre;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Seguro lo votaría;Seguro lo votaría;Seguro lo votaría;Otro candidato;Otro candidato;Otro candidato;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Otro candidato;Ninguno de los dos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Mala;Mala;Mala;Buena;Mala;Mala;Mala;Mala;Mala;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Algunas;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;;AMBA;1.233
Caba;1;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Indeciso;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Muy buena;Mala;Mala;Mala;Mala;Mala;Buena;Muy buena;Mala;Mala;;;Roberto Lavagna;Muchas;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Negativa;;AMBA;1.1787480000000001
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;No sabe;No sabe;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Mala;Mala;Buena;Muy mala;Muy mala;Muy buena;Muy mala;Buena;Muy buena;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;;AMBA;1.233
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Seguro lo votaría;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Facundo Manes por Juntos por el Cambio;Daniel Scioli por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Myriam Bregman por el Frente de Izquierda;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Buena;Mala;Buena;Buena;Mala;Muy buena;Buena;Muy mala;Mala;Buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;;AMBA;1.233
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Seguro lo votaría;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Buena;Mala;Muy buena;Mala;Muy mala;Buena;Muy mala;Muy mala;Mala;Muy buena;Mala;Axel Kicillof por el Frente de Todos;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;Negativa;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Muy buena;Buena;Mala;Mala;Muy buena;Mala;Muy buena;Muy buena;Buena;Mala;Buena;Joaquín De La Torre por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Patricia Bullrich por Juntos por el Cambio;Otro candidato;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Ns/Nc;Mala;Mala;Mala;Mala;Mala;Muy buena;Muy buena;Muy buena;Muy mala;Mala;José Luis Espert por la Libertad Avanza ;José Luis Espert;Pocas;Negativa;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Positiva;Positiva;Negativa;Negativa;AMBA;0.679716
Gba;2;Mujer;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Ninguno de los dos;Mala;Mala;Buena;Muy mala;Mala;Buena;Muy mala;Buena;Muy buena;Mala;Mala;Muy buena;Axel Kicillof por el Frente de Todos;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Otro candidato;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Otro candidato;Ninguno de los dos;Indeciso;Ninguno de los dos;Ninguno de los dos;Mala;Mala;Buena;Buena;Mala;Mala;Mala;Mala;Buena;Buena;Mala;Mala;Martín Tetaz por Juntos;Roberto Lavagna;Muchas;Negativa;Negativa;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Positiva;Positiva;Negativa;Negativa;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Mala;Muy mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Muy mala;Mala;Muy mala;Buena;Javier Iguacel por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;AMBA;0.679716
Gba;2;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Podría llegar a votarlo;No sabe;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Myriam Bregman por el Frente de Izquierda;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Mala;Muy buena;Mala;Muy buena;Muy mala;Muy mala;Buena;Muy mala;Muy mala;Buena;Muy buena;Mala;Axel Kicillof por el Frente de Todos;Nicolás Del Caño;Muchas;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;Negativa;AMBA;0.711
Gba;2;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Mala;Mala;Mala;Mala;Muy mala;Muy buena;Muy mala;Buena;Muy buena;Mala;Muy mala;Buena;Diego Santilli por Juntos;Alberto Fernández y Cristina Kirchner;Muchas;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;AMBA;0.711
Gba;2;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Mala;Mala;Buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Muy mala;Mala;Muy mala;Muy buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;AMBA;0.679716
