plaza;estrato;metodo;sexo;edad;estudios;paso_sufragara;paso_votaria;p5o;p6;paso_importa;pondedad;pondestudios;pondedadestudios;pondestrato;pondedadestudiosestrato;pondestudios2;pondedadestudiosestratoestudios2;pondedad2;pondedadestudiosestratoestudios2edad2;pondsexo;pondedadestudiosestratoestudios2edad2sexo;PROBABILIDAD_VOTO_PASO;IMPORTANCIA_PASO
Pergamino;7;Presencial;Femenino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.910392314400873;1.0513016585903026;0.978716238768085;1.0289260051061504;0.968864316292147;0.9968896904523805;0.978831577726991;0.9757871085252753;Probable;Importante
Zárate;6;Presencial;Femenino;18 a 29;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.979268073305836;1.0093317799195198;1.27172700869569;1.2835944852585475;1.00269534323067;1.2870542129653144;1.02833431789509;1.3235220161836887;0.978831577726991;1.2955051432574882;Probable;Importante
Zárate;6;Presencial;Femenino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;1.22650294224848;1.268985726735861;1.27172700869569;1.613803422339323;0.978716238768085;1.5794556156230055;1.00796058633095;1.5920290084070763;0.978831577726991;1.5583282660862356;Probable;Importante
Zárate;6;Presencial;Masculino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Nada importante;1.03463732782369;0.979268073305836;1.0131873025882034;1.27172700869569;1.2884976575689508;1.00269534323067;1.2919706010080134;1.00796058633095;1.302255444514387;1.02399045775466;1.3334971487417853;Probable;No importante
Tandil;6;Presencial;Femenino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Poco importante;1.03463732782369;0.840537014502872;0.8696509706221537;1.27172700869569;1.1059586274786148;1.02565145013214;1.1343280700595926;1.00796058633095;1.1433579865889218;0.978831577726991;1.1191549019195903;Probable;No importante
Formosa;6;Presencial;Femenino;Más de 50;Nivel Primario, ya sea completo o incompleto;Algo probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;6;Algo importante;0.941521349862259;1.22650294224848;1.1547787057958212;1.27172700869569;1.4685632692272;0.978716238768085;1.4373067192510076;0.968864316292147;1.3925551918492363;0.978831577726991;1.3630769955097006;Probable;Importante
Formosa;6;Presencial;Femenino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;1.22650294224848;1.268985726735861;1.27172700869569;1.613803422339323;0.978716238768085;1.5794556156230055;1.00796058633095;1.5920290084070763;0.978831577726991;1.5583282660862356;Probable;Importante
Resistencia;5;Presencial;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;7;Algo importante;1.03463732782369;0.979268073305836;1.0131873025882034;1.0935240727094;1.1079447055437035;1.00269534323067;1.1109309968057475;1.00796058633095;1.119774658913548;0.978831577726991;1.0960707960830514;Probable;Importante
Resistencia;5;Presencial;Femenino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;0.840537014502872;0.8696509706221537;1.0935240727094;0.9509842712304203;1.02565145013214;0.975378396840337;1.00796058633095;0.9831429807737281;0.978831577726991;0.9623313950019651;Probable;Importante
Resistencia;5;Presencial;Femenino;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.840537014502872;0.8663416525695969;1.0935240727094;0.9473654522756977;1.02565145013214;0.9716667499316601;1.02833431789509;0.9991982645123129;0.978831577726991;0.9780468137146585;Probable;Importante
Resistencia;5;Presencial;Femenino;18 a 29;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;8;Algo importante;1.03070018050542;0.979268073305836;1.0093317799195198;1.0935240727094;1.103728598692621;1.00269534323067;1.106703526099604;1.02833431789509;1.1380612156237275;0.978831577726991;1.1139702552388706;Probable;Importante
Corrientes;5;Presencial;Masculino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Nada probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;1 Ninguna posibilidad;Poco importante;1.03463732782369;0.840537014502872;0.8696509706221537;1.0935240727094;0.9509842712304203;1.02565145013214;0.975378396840337;1.00796058633095;0.9831429807737281;1.02399045775466;1.0067290309207706;No probable;No importante
Corrientes;5;Presencial;Femenino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;0.941521349862259;1.22650294224848;1.1547787057958212;1.0935240727094;1.2627783134399364;0.978716238768085;1.2359016413278405;0.968864316292147;1.1974209987294404;0.978831577726991;1.1720734853897674;Probable;Importante
Corrientes;5;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Poco probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;6;Algo importante;0.941521349862259;1.22650294224848;1.1547787057958212;1.0935240727094;1.2627783134399364;0.978716238768085;1.2359016413278405;0.968864316292147;1.1974209987294404;1.02399045775466;1.2261476766140018;No probable;Importante
